Category,Name,Description,Manufacturer,Dosage,Source
human,Main page,""" Slug "" is a song by Passengers, a side project of musician Brian Eno and rock band U2 (pictured) . It was released on 7 November 1995 on Passengers' sole release, the experimental album Original Soundtracks 1 . The song was almost left off the album before it was rediscovered later during the recording sessions. Though Eno made most of the creative decisions during the sessions, ""Slug"" was one of the few tracks that the members from U2 tried to craft themselves. Lyrically, it portrays a desolate soul with the confusion of romance and faith. U2 and Eno tried to create a visual suggestion from the music that was more important than the story within the lyrics. In ""Slug"", the instrumentation is intended as visual music representing the lights turning on in a city at night. The group primarily drew inspiration for the song from U2's experiences in Tokyo at the conclusion of their Zoo TV Tour in 1993. ""Slug"" has been praised as one of the best songs on the album by critics from various publications. ( Full article... )",,,https://en.wikipedia.org/wiki/Main_Page
human,Article,There are many hundreds of thousands of possible drugs. Any chemical substance with biological activity may be considered a drug. This list categorises drugs alphabetically and also by other categorisations.,,,https://en.wikipedia.org/wiki/Lists_of_drugs
human,International nonproprietary name,"An international nonproprietary name ( INN ) is an official generic and nonproprietary name given to a pharmaceutical substance or an active ingredient , [ 1 ] encompassing compounds , peptides and low-molecular-weight proteins (e.g., insulin , hormones , cytokines ), as well as complex biological products, such as those used for gene therapy . [ 2 ] INNs are intended to make communication more precise by providing a unique standard name for each active ingredient, to avoid prescribing errors. [ 3 ] The INN system was initiated by the World Health Organization (WHO) in 1953. [ 4 ]",,,https://en.wikipedia.org/wiki/International_nonproprietary_name
human,British Approved Name,"A British Approved Name ( BAN ) is the official, non-proprietary, or generic name given to a pharmaceutical substance , as defined in the British Pharmacopoeia (BP) . [ 1 ] The BAN is also the official name used in some countries around the world, because starting in 1953, proposed new names were evaluated by a panel of experts from WHO in conjunction with the BP commission  to ensure naming consistency worldwide [ 2 ] (an effort leading to the International Nonproprietary Name system). There is also a British Approved Name (Modified) ( BANM ). [ 3 ]",,,https://en.wikipedia.org/wiki/British_Approved_Name
human,United States Adopted Name,"A United States Adopted Name ( USAN ) is a unique nonproprietary name assigned to a medication marketed in the United States.  Each name is assigned by the USAN Council, which is co-sponsored by the American Medical Association (AMA), the United States Pharmacopeial Convention (USP), and the American Pharmacists Association (APhA).",,,https://en.wikipedia.org/wiki/United_States_Adopted_Name
human,codes for countries,"A country code top-level domain ( ccTLD ) is an Internet top-level domain generally used or reserved for a country , sovereign state, or dependent territory identified with a country code . All ASCII ccTLD identifiers are two letters long, and all two-letter top-level domains are ccTLDs.",,,https://en.wikipedia.org/wiki/Country_code_top-level_domain
human,List of bestselling drugs,,,,https://en.wikipedia.org/wiki/List_of_bestselling_drugs
human,List of drugs by year of discovery,,,,https://en.wikipedia.org/wiki/List_of_drugs_by_year_of_discovery
human,Comparison of psychoactive alcohols in alcoholic drinks,,,,https://en.wikipedia.org/wiki/Comparison_of_psychoactive_alcohols_in_alcoholic_drinks
human,List of benzodiazepines,,,,https://en.wikipedia.org/wiki/List_of_benzodiazepines
human,List of hallucinogens,"This is a list of hallucinogens , or psychoactive drugs that produce majorly altered states of consciousness . [ 1 ]",,,https://en.wikipedia.org/wiki/List_of_hallucinogens
human,List of psychedelic drugs,,,,https://en.wikipedia.org/wiki/List_of_psychedelic_drugs
human,List of 2C-* drugs,"2C ( 2C- x ) is a general name for the family of psychedelic phenethylamines containing methoxy groups on the 2 and 5 positions of a benzene ring. [ 1 ] [ 2 ] [ 3 ] Most of these compounds also carry lipophilic substituents at the 4 position, usually resulting in more potent and more metabolically stable and longer acting compounds. [ 4 ]",,,https://en.wikipedia.org/wiki/2C_(psychedelics)
human,List of DO* drugs,"4-Substituted-2,5-dimethoxyamphetamines ( DO x ) is a chemical class of substituted amphetamine derivatives featuring methoxy groups at the 2- and 5- positions of the phenyl ring , and a substituent such as alkyl or halogen at the 4- position of the phenyl ring. [ 1 ] [ 2 ] They are 4-substituted derivatives of 2,5-dimethoxyamphetamine (2,5-DMA, DOH) and are structurally related to the naturally occurring phenethylamine psychedelic mescaline .",,,https://en.wikipedia.org/wiki/DOx
human,List of substituted phenethylamines,,,,https://en.wikipedia.org/wiki/Substituted_phenethylamine
human,List of substituted tryptamines,"Substituted tryptamines , or simply tryptamines , also known as serotonin analogues (i.e., 5-hydroxytryptamine analogues ), are organic compounds which may be thought of as being derived from tryptamine itself. The molecular structures of all tryptamines contain an indole ring system, joined to an amino (NH 2 ) group via an ethyl (−CH2–CH2−) sidechain . In substituted tryptamines, the indole ring, sidechain, and/or amino group are modified by substituting another group for one of the hydrogen (H) atoms.",,,https://en.wikipedia.org/wiki/Substituted_tryptamine#List_of_substituted_tryptamines
human,List of lysergamides,,,,https://en.wikipedia.org/wiki/Lysergamides
human,List of cannabinoids,,,,https://en.wikipedia.org/wiki/List_of_cannabinoids
human,Comparison of phytocannabinoids,"Cannabinoids ( / k ə ˈ n æ b ə n ɔɪ d z ˌ ˈ k æ n ə b ə n ɔɪ d z / ) are compounds found in the cannabis plant or synthetic compounds that can interact with the endocannabinoid system . [ 1 ] [ 2 ] The most notable cannabinoid is the phytocannabinoid tetrahydrocannabinol (THC) (Delta-9-THC), the primary intoxicating compound in cannabis . [ 3 ] [ 4 ] Cannabidiol (CBD) is another major constituent of some cannabis plants. [ 5 ] Conversion of CBD to THC can occur when CBD is heated to temperatures between 250–300 °C (480 to 570°F), potentially leading to its partial transformation into THC. [ 6 ]",,,https://en.wikipedia.org/wiki/Comparison_of_phytocannabinoids
human,Synthetic cannabinoids,"Synthetic cannabinoids , or neocannabinoids , are a class of designer drug molecules that bind to the same receptors to which cannabinoids ( THC , CBD and many others) in cannabis plants attach. [ 1 ] These novel psychoactive substances should not be confused with synthetic phytocannabinoids (obtained by chemical synthesis ) or synthetic endocannabinoids from which they are distinct in many aspects. [ 2 ] [ 3 ] [ 4 ]",,,https://en.wikipedia.org/wiki/Synthetic_cannabinoids
human,List of AM cannabinoids,,,,https://en.wikipedia.org/wiki/List_of_AM_cannabinoids
human,List of CP cannabinoids,,,,https://en.wikipedia.org/wiki/List_of_CP_cannabinoids
human,List of HU cannabinoids,A research group led by Raphael Mechoulam at Hebrew University has synthesized many cannabinoids. Some of those are:,,,https://en.wikipedia.org/wiki/List_of_HU_cannabinoids
human,List of JWH cannabinoids,The John W. Huffman research group at Clemson University synthesized over 450 cannabinoids . [ 1 ] [ 2 ] [ 3 ] [ 4 ] Some of those are:,,,https://en.wikipedia.org/wiki/List_of_JWH_cannabinoids
human,List of miscellaneous designer cannabinoids,,,,https://en.wikipedia.org/wiki/List_of_miscellaneous_designer_cannabinoids
human,List of cocaine analogues,,,,https://en.wikipedia.org/wiki/List_of_cocaine_analogues
human,List of methylphenidate analogues,,,,https://en.wikipedia.org/wiki/List_of_methylphenidate_analogues
human,List of substituted cathinones,,,,https://en.wikipedia.org/wiki/Substituted_cathinone#List_of_substituted_cathinones
human,List of antidepressants,"This is a complete list of clinically approved prescription antidepressants throughout the world, as well as clinically approved prescription drugs used to augment antidepressants or mood stabilizers , by pharmacological and/or structural classification. Chemical/generic names are listed first, with brand names in parentheses. All drugs listed are approved specifically for major depressive disorder unless noted otherwise.",,,https://en.wikipedia.org/wiki/List_of_antidepressants
human,List of androgen esters,,,,https://en.wikipedia.org/wiki/List_of_androgen_esters
human,List of corticosteroid esters,,,,https://en.wikipedia.org/wiki/List_of_corticosteroid_esters
human,List of estrogen esters,,,,https://en.wikipedia.org/wiki/List_of_estrogen_esters
human,List of tetracyclic antidepressants,"Tetracyclic antidepressants ( TeCAs ) are a class of antidepressants that were first introduced in the 1970s. They are named after their tetracyclic chemical structure , containing four rings of atoms , and are closely related to the tricyclic antidepressants (TCAs), which contain three rings of atoms.",,,https://en.wikipedia.org/wiki/Tetracyclic_antidepressant#List_of_TeCAs
human,List of tricyclic antidepressants,,,,https://en.wikipedia.org/wiki/Tricyclic_antidepressant#List_of_TCAs
human,List of substituted α-alkyltryptamines,"Substituted tryptamines , or simply tryptamines , also known as serotonin analogues (i.e., 5-hydroxytryptamine analogues ), are organic compounds which may be thought of as being derived from tryptamine itself. The molecular structures of all tryptamines contain an indole ring system, joined to an amino (NH 2 ) group via an ethyl (−CH2–CH2−) sidechain . In substituted tryptamines, the indole ring, sidechain, and/or amino group are modified by substituting another group for one of the hydrogen (H) atoms.",,,https://en.wikipedia.org/wiki/Substituted_alpha-alkyltryptamine#List_of_substituted_α-alkyltryptamines
human,List of substituted amphetamines,,,,https://en.wikipedia.org/wiki/Substituted_amphetamine#Partial_list_of_substituted_amphetamines
human,List of substituted benzofurans,,,,https://en.wikipedia.org/wiki/Substituted_benzofuran#List_of_substituted_benzofurans
human,List of substituted methylenedioxyphenethylamines,"The substituted methylenedioxyphenethylamines (abbreviated as MD xx ) represent a diverse chemical class of compounds derived from phenethylamines . This category encompasses numerous psychoactive substances with entactogenic , psychedelic , and/or stimulant properties, in addition to entheogens. These compounds find application as research chemicals , designer drugs , and recreational substances. [ 1 ]",,,https://en.wikipedia.org/wiki/Substituted_methylenedioxyphenethylamine#List_of_substituted_methylenedioxyphenethylamines
human,List of androgens/anabolic steroids,,,,https://en.wikipedia.org/wiki/List_of_androgens/anabolic_steroids
human,List of anaesthetic drugs,,,,https://en.wikipedia.org/wiki/List_of_anaesthetic_drugs
human,List of antiandrogens,,,,https://en.wikipedia.org/wiki/List_of_antiandrogens
human,List of antibiotics,,,,https://en.wikipedia.org/wiki/List_of_antibiotics
human,List of antipsychotics,"Following is a list of antipsychotics , sorted by class.",,,https://en.wikipedia.org/wiki/List_of_antipsychotics
human,List of antiviral drugs,Antiviral drugs are different from antibiotics. Flu antiviral drugs are different from antiviral drugs used to treat other infectious diseases such as COVID-19. Antiviral drugs prescribed to treat COVID-19 are not approved or authorized to treat flu. [ 1 ],,,https://en.wikipedia.org/wiki/List_of_antiviral_drugs
